,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Simon Grayson’s Preston have taken Villa’s Callum Robinson back to Deepdale

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Will Keane to be part of LVG's first-team plans, says youth coach Tommy Martin


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Drogba would be a great addition to the coaching staff at CFC, says Courtois


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

More on Pep as he puts Manchester United, Chelsea and City on red alert


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Sevilla president Jose Castro insists Ciro Immobile will not be sold

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Guardiola admits he wants to manage in the Premier League in press conference

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
MK Dons agree to release Cristian Benavente from his contract after discussions

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Charlie Austin should sign for Palace, insists former Eagles boss Neil Warnock


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Rotherham lengthen Farrend Rawson’s loan from Derby 'til the end of the season

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Preston striker Andy Little extends his loan at Blackpool until the end of Jan.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Birmingham confirm Reece Brown has gone on trial with West Ham 'til January 27

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Reading accept offer from Sheffield Wednesday for striker Nick Blackman


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
146-capped England star Fara Williams joins Arsenal Ladies

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Mixu Paatelainen confident defender John Souttar will extend Dundee United deal


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Cardiff to offload Kenwyne Jones (and his £35k-a-week wages) to Al Jazira Club


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Brighton consider paying £1million release clause for Birmingham's David Cotterill


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
